id,name,type
267,定安黑猪骨头汤,48
268,翰林焖猪蹄,10
269,光明乳鸽,10
270,豆浆炒,10
271,软粿,10
272,仙游蓼花,10
273,妈祖面,11
274,麦煎,35
275,烧鹅濑粉,11
276,风亭糕,16
277,虾饺,30
278,沙井鲜蚝,10
279,富公饼,15
280,泗粉,11
281,煎包,29
282,金棵,10
283,枫亭糕,16
284,金粿,10
285,西天尾扁食,10
286,兴化米粉,41
287,炸牛奶,16
288,干焖羊肉,10
289,红团,10
290,敛糕,16
291,仙游扁食,10
292,三合士,10
293,包心豆腐丸,29
294,利津水煎包,22
295,黄河口鳖,10
296,黄河口大闸蟹,10
297,黄河故道鲜鱼汤,48
298,利津水煎包,22
299,十二道虾线,10
300,见山别院,14
301,豆浆炒,10
302,土灶人家,10
303,软粿,10
304,仙游蓼花,10
305,妈祖面,11
306,麦煎,35
307,六月雪,10
308,风亭糕,16
309,煎包,29
310,金棵,10
311,枫亭糕,16
312,钟鸭子,10
313,金粿,10
314,老公鸡肉,10
315,西天尾扁食,10
316,兴化米粉,41
317,干焖羊肉,10
318,仙游扁食,10
319,红团,10
320,泗粉,11
321,三合士,10
322,包心豆腐丸,29
323,大头华烧鸡,10
324,阿多,10
325,北京烤鸭,28
326,乔曼尼意式餐厅,14
327,天空,10
328,钱塘湘,10
329,星漠亲子餐厅,14
330,meland club,10
331,知味咖啡厅,14
332,毋米粥,10
333,粒粒堡亲子餐厅,14
334,龙的,10
335,牛展煲仔饭,13
336,小火重,10
337,细妹牛杂,10
338,米菲厨房,10
339,猪什王,10
340,牛奶皇后,10
341,花生艺术生活馆,10
342,了能,10
343,新元素餐厅,14
344,味可道,10
345,奥巴顺,10
346,黄但记,10
347,四海一家,10
348,金榜牛奶,10
349,陈记蛋挞,10
350,七层糕,42
351,糯米肠,27
352,鱼丸,26
353,豆腐脑,22
354,酒糟甜蛋,10
355,陈记蛋挞,10
356,幺铺毛肚,10
357,幺铺毛肚,10
358,大肠粉,11
359,大肠粉,11
360,海蛎饼,15
361,福清光饼,15
362,虾酥,10
363,芋粿,10
364,鱼饺,32
365,永泰熏鸡,10
366,花生汤,40
367,重庆鸡杂,10
368,锅边,10
369,山城小汤圆,48
370,佛跳墙,39
371,冰饭,13
372,黄岐鱼丸,10
373,全番菜,10
374,重庆烤鱼,19
375,抄手,41
376,太平燕,10
377,李干,10
378,地瓜饺,10
379,重庆毛血旺,10
380,杠面,11
381,芋泥,16
382,番薯丸,16
383,捞化,10
